timestamp,open,high,low,close,volume
1629120600,444.5300,447.1100,442.8700,446.9700,73740000
1629207000,444.2400,444.9600,440.8500,444.0400,92673900
1629293400,442.9600,444.6300,438.9200,439.1800,89351900
1629379800,436.2700,441.1400,436.1200,439.8600,92812200
1629466200,440.2300,443.7100,439.7100,443.3600,72008700
1629725400,445.1600,448.2300,443.4400,447.2600,54973000
1629811800,447.9700,448.5400,447.4200,447.9700,38744700
1629898200,448.1700,449.4600,447.7700,448.9100,40529700
1629984600,448.6100,448.8600,446.1600,446.2600,57829600
1630071000,447.1200,450.6500,447.0600,450.2500,77235100
1630330200,450.9700,453.0700,450.7100,452.2300,48357400
1630416600,452.1300,452.4900,450.9200,451.5600,59300200
1630503000,452.5600,453.1100,451.5500,451.8000,48721400
1630589400,453.3200,454.0500,451.9100,453.1900,42501000
1630675800,451.9800,453.6300,451.5500,453.0800,47170500
1631021400,452.7100,452.8100,450.7400,451.4600,51671500
1631107800,450.8900,451.6700,448.8600,450.9100,56181900
1631194200,450.7000,452.5700,448.7200,448.9800,57970400
1631280600,451.0400,451.4900,445.3100,445.4400,89948200
1631539800,448.6400,448.9200,444.1100,446.5800,83738600
1631626200,448.1200,448.3400,443.2200,444.1700,78197100
1631712600,444.6200,448.4100,443.4400,447.8800,78792200
1631799000,447.3200,448.3600,444.0200,447.1700,77786700
1631885400,444.9200,445.3700,441.0200,441.4000,118425000
1632144600,434.8800,436.5600,428.8600,434.0400,166445500
1632231000,436.5300,437.9100,433.0700,433.6300,92526100
1632317400,436.0500,440.0300,433.7500,437.8600,102350100
1632403800,439.8500,444.8900,439.6000,443.1800,76396000
1632490200,441.4400,444.6700,441.2100,443.9100,62094800
1632749400,442.8100,444.0500,441.9000,442.6400,61371100
1632835800,439.6900,440.0400,432.9400,433.7200,130436300
1632922200,435.1900,437.0400,433.8500,434.4500,82329200
1633008600,436.0200,436.7700,428.7800,429.1400,140506000
1633095000,430.9800,436.0300,427.2300,434.2400,129240100
1633354200,433.0000,433.9600,426.3600,428.6400,128570000
1633440600,430.2400,435.4900,429.3900,433.1000,90682500
1633527000,429.2700,435.1200,427.5400,434.9000,113032200
1633613400,438.3900,441.6800,438.2000,438.6600,72437500
1633699800,439.4800,439.8900,437.1900,437.8600,74557400
1633959000,437.1600,440.2600,434.6200,434.6900,65233300
1634045400,435.6700,436.1000,432.7800,433.6200,71181200
1634131800,434.7100,436.0500,431.5400,435.1800,72974000
1634218200,439.0800,442.6600,438.5800,442.5000,70236800
1634304600,444.7500,446.2600,444.0900,445.8700,66260200
1634563800,443.9700,447.5500,443.2700,447.1900,62213200
1634650200,448.9200,450.7100,448.2700,450.6400,46996800
1634736600,451.1300,452.7300,451.0100,452.4100,49571600
1634823000,451.7700,453.8300,451.3100,453.5900,41305400
1634909400,453.1300,454.6700,451.0500,453.1200,58845100
1635168600,454.2800,455.9000,452.3900,455.5500,45214500
1635255000,457.2000,458.4900,455.5600,455.9600,56075100
1635341400,456.4500,457.1600,453.8600,453.9400,72438000
1635427800,455.4600,458.4000,455.4500,458.3200,51437900
1635514200,455.8700,459.5600,455.5600,459.2500,70162400
1635773400,460.3000,460.7000,458.2000,460.0400,48433600
1635859800,460.2200,462.2300,460.0800,461.9000,48908400
1635946200,461.3000,465.1500,460.8300,464.7200,52509800
1636032600,465.3600,467.0000,464.9900,466.9100,52847100
1636119000,469.2800,470.6500,466.9200,468.5300,66390600
1636381800,469.7000,470.2300,468.2000,468.9300,50405200
1636468200,469.3200,469.5700,465.8800,467.3800,51149100
1636554600,465.5800,467.3800,462.0400,463.6200,69429700
1636641000,465.2100,465.2900,463.7500,463.7700,34848500
1636727400,465.1200,467.8600,464.1100,467.2700,53466700
1636986600,468.6400,468.8100,466.2300,467.4300,46980500
